TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734350061,namenode,53.46%,2.917GiB / 16GiB,18.23%
1734350061,datanode1,0.35%,6.029GiB / 16GiB,37.68%
1734350061,datanode2,0.40%,8.369GiB / 16GiB,52.31%
1734350067,namenode,1.48%,3.183GiB / 16GiB,19.90%
1734350067,datanode1,0.52%,6.029GiB / 16GiB,37.68%
1734350067,datanode2,392.46%,8.715GiB / 16GiB,54.47%
1734350072,namenode,1.19%,3.189GiB / 16GiB,19.93%
1734350072,datanode1,2919.60%,9.442GiB / 16GiB,59.01%
1734350072,datanode2,1022.36%,9.687GiB / 16GiB,60.54%
1734350078,namenode,1.07%,3.179GiB / 16GiB,19.87%
1734350078,datanode1,808.60%,10.63GiB / 16GiB,66.43%
1734350078,datanode2,209.31%,10.07GiB / 16GiB,62.94%
1734350084,namenode,1.05%,3.182GiB / 16GiB,19.89%
1734350084,datanode1,828.21%,10.75GiB / 16GiB,67.16%
1734350084,datanode2,206.36%,10.1GiB / 16GiB,63.14%
1734350089,namenode,1.62%,3.186GiB / 16GiB,19.92%
1734350089,datanode1,639.63%,9.76GiB / 16GiB,61.00%
1734350089,datanode2,30.83%,9.06GiB / 16GiB,56.63%
1734350095,namenode,1.13%,3.187GiB / 16GiB,19.92%
1734350095,datanode1,610.97%,9.741GiB / 16GiB,60.88%
1734350095,datanode2,113.34%,9.832GiB / 16GiB,61.45%
1734350100,namenode,0.76%,3.187GiB / 16GiB,19.92%
1734350100,datanode1,663.24%,9.798GiB / 16GiB,61.24%
1734350100,datanode2,105.10%,9.89GiB / 16GiB,61.81%
1734350106,namenode,0.85%,3.187GiB / 16GiB,19.92%
1734350106,datanode1,0.37%,6.403GiB / 16GiB,40.02%
1734350106,datanode2,100.74%,9.912GiB / 16GiB,61.95%
1734350111,namenode,0.73%,3.187GiB / 16GiB,19.92%
1734350111,datanode1,0.82%,6.403GiB / 16GiB,40.02%
1734350111,datanode2,107.92%,10.11GiB / 16GiB,63.19%
1734350117,namenode,0.94%,3.187GiB / 16GiB,19.92%
1734350117,datanode1,0.90%,6.404GiB / 16GiB,40.02%
1734350117,datanode2,101.49%,10.16GiB / 16GiB,63.47%
1734350122,namenode,0.75%,3.187GiB / 16GiB,19.92%
1734350122,datanode1,0.91%,6.404GiB / 16GiB,40.02%
1734350122,datanode2,101.58%,10.19GiB / 16GiB,63.71%
1734350128,namenode,0.98%,3.189GiB / 16GiB,19.93%
1734350128,datanode1,0.82%,6.404GiB / 16GiB,40.03%
1734350128,datanode2,104.97%,10.24GiB / 16GiB,63.97%
1734350133,namenode,0.78%,3.189GiB / 16GiB,19.93%
1734350133,datanode1,0.79%,6.405GiB / 16GiB,40.03%
1734350133,datanode2,106.67%,10.28GiB / 16GiB,64.22%
1734350139,namenode,0.55%,3.189GiB / 16GiB,19.93%
1734350139,datanode1,0.86%,6.405GiB / 16GiB,40.03%
1734350139,datanode2,109.90%,10.31GiB / 16GiB,64.44%
1734350144,namenode,0.65%,3.191GiB / 16GiB,19.94%
1734350144,datanode1,0.80%,6.406GiB / 16GiB,40.04%
1734350144,datanode2,106.70%,10.35GiB / 16GiB,64.67%
1734350150,namenode,1.58%,3.191GiB / 16GiB,19.94%
1734350150,datanode1,0.90%,6.406GiB / 16GiB,40.04%
1734350150,datanode2,105.71%,10.39GiB / 16GiB,64.91%
1734350156,namenode,0.60%,3.191GiB / 16GiB,19.94%
1734350156,datanode1,0.82%,6.407GiB / 16GiB,40.04%
1734350156,datanode2,104.41%,10.43GiB / 16GiB,65.19%
1734350161,namenode,7.49%,3.194GiB / 16GiB,19.96%
1734350161,datanode1,0.80%,6.407GiB / 16GiB,40.05%
1734350161,datanode2,105.39%,10.46GiB / 16GiB,65.39%
1734350167,namenode,0.51%,3.194GiB / 16GiB,19.96%
1734350167,datanode1,0.80%,6.407GiB / 16GiB,40.04%
1734350167,datanode2,116.71%,10.51GiB / 16GiB,65.68%
1734350172,namenode,1.05%,3.194GiB / 16GiB,19.96%
1734350172,datanode1,0.40%,6.407GiB / 16GiB,40.05%
1734350172,datanode2,97.23%,10.22GiB / 16GiB,63.86%
1734350178,namenode,1.07%,3.25GiB / 16GiB,20.31%
1734350178,datanode1,0.37%,6.408GiB / 16GiB,40.05%
1734350178,datanode2,13.01%,8.959GiB / 16GiB,55.99%
1734350183,namenode,2.33%,3.249GiB / 16GiB,20.30%
1734350183,datanode1,7.76%,6.92GiB / 16GiB,43.25%
1734350183,datanode2,0.45%,8.957GiB / 16GiB,55.98%
1734350189,namenode,0.74%,3.249GiB / 16GiB,20.30%
1734350189,datanode1,117.49%,7.528GiB / 16GiB,47.05%
1734350189,datanode2,0.48%,8.957GiB / 16GiB,55.98%
1734350194,namenode,1.14%,3.248GiB / 16GiB,20.30%
1734350194,datanode1,376.30%,7.248GiB / 16GiB,45.30%
1734350194,datanode2,0.47%,8.957GiB / 16GiB,55.98%
1734350200,namenode,0.52%,3.249GiB / 16GiB,20.31%
1734350200,datanode1,0.52%,6.987GiB / 16GiB,43.67%
1734350200,datanode2,0.35%,8.957GiB / 16GiB,55.98%
1734350205,namenode,1.86%,3.251GiB / 16GiB,20.32%
1734350205,datanode1,0.86%,6.477GiB / 16GiB,40.48%
1734350205,datanode2,438.54%,9.391GiB / 16GiB,58.69%
1734350211,namenode,1.28%,3.251GiB / 16GiB,20.32%
1734350211,datanode1,64.54%,6.55GiB / 16GiB,40.94%
1734350211,datanode2,7.24%,9.47GiB / 16GiB,59.18%
1734350216,namenode,7.99%,3.252GiB / 16GiB,20.33%
1734350216,datanode1,0.35%,6.487GiB / 16GiB,40.54%
1734350217,datanode2,0.38%,9.467GiB / 16GiB,59.17%
1734350222,namenode,1.85%,3.251GiB / 16GiB,20.32%
1734350222,datanode1,403.33%,6.837GiB / 16GiB,42.73%
1734350222,datanode2,0.65%,8.958GiB / 16GiB,55.98%
1734350228,namenode,1.19%,3.251GiB / 16GiB,20.32%
1734350228,datanode1,12.34%,7.005GiB / 16GiB,43.78%
1734350228,datanode2,370.97%,9.206GiB / 16GiB,57.54%
1734350233,namenode,0.52%,3.252GiB / 16GiB,20.33%
1734350233,datanode1,6.26%,7.003GiB / 16GiB,43.77%
1734350233,datanode2,0.43%,8.96GiB / 16GiB,56.00%
1734350239,namenode,1.87%,3.252GiB / 16GiB,20.32%
1734350239,datanode1,11.82%,6.5GiB / 16GiB,40.62%
1734350239,datanode2,245.48%,9.097GiB / 16GiB,56.86%
1734350244,namenode,0.70%,3.252GiB / 16GiB,20.32%
1734350244,datanode1,296.57%,6.659GiB / 16GiB,41.62%
1734350244,datanode2,27.10%,9.486GiB / 16GiB,59.29%
1734350250,namenode,1.30%,3.252GiB / 16GiB,20.32%
1734350250,datanode1,8.57%,6.527GiB / 16GiB,40.79%
1734350250,datanode2,9.95%,9.486GiB / 16GiB,59.29%
1734350255,namenode,0.59%,3.253GiB / 16GiB,20.33%
1734350255,datanode1,0.86%,6.526GiB / 16GiB,40.79%
1734350255,datanode2,13.42%,8.96GiB / 16GiB,56.00%
1734350261,namenode,1.51%,3.252GiB / 16GiB,20.33%
1734350261,datanode1,6.51%,7.047GiB / 16GiB,44.04%
1734350261,datanode2,0.46%,8.958GiB / 16GiB,55.99%
1734350266,namenode,0.87%,3.252GiB / 16GiB,20.32%
1734350266,datanode1,3.45%,7.051GiB / 16GiB,44.07%
1734350266,datanode2,11.13%,8.975GiB / 16GiB,56.10%
1734350272,namenode,0.61%,3.254GiB / 16GiB,20.34%
1734350272,datanode1,0.54%,7.048GiB / 16GiB,44.05%
1734350272,datanode2,0.37%,8.963GiB / 16GiB,56.02%
1734350277,namenode,0.91%,3.256GiB / 16GiB,20.35%
1734350277,datanode1,0.63%,6.548GiB / 16GiB,40.92%
1734350277,datanode2,371.21%,9.301GiB / 16GiB,58.13%
1734350283,namenode,1.29%,3.256GiB / 16GiB,20.35%
1734350283,datanode1,0.45%,6.567GiB / 16GiB,41.05%
1734350283,datanode2,12.80%,9.484GiB / 16GiB,59.27%
1734350289,namenode,0.67%,3.257GiB / 16GiB,20.36%
1734350289,datanode1,1.61%,6.577GiB / 16GiB,41.11%
1734350289,datanode2,4.65%,9.482GiB / 16GiB,59.26%
1734350294,namenode,3.17%,3.259GiB / 16GiB,20.37%
1734350294,datanode1,298.58%,6.805GiB / 16GiB,42.53%
1734350294,datanode2,0.86%,8.961GiB / 16GiB,56.01%
1734350300,namenode,1.09%,3.258GiB / 16GiB,20.36%
1734350300,datanode1,372.70%,7.36GiB / 16GiB,46.00%
1734350300,datanode2,0.49%,8.961GiB / 16GiB,56.00%
1734350305,namenode,0.58%,3.258GiB / 16GiB,20.36%
1734350305,datanode1,5.47%,7.117GiB / 16GiB,44.48%
1734350305,datanode2,1.22%,8.961GiB / 16GiB,56.01%
1734350311,namenode,1.26%,3.261GiB / 16GiB,20.38%
1734350311,datanode1,10.45%,6.62GiB / 16GiB,41.38%
1734350311,datanode2,0.33%,8.961GiB / 16GiB,56.00%
1734350316,namenode,1.82%,3.263GiB / 16GiB,20.39%
1734350316,datanode1,0.41%,6.617GiB / 16GiB,41.36%
1734350316,datanode2,50.56%,9.472GiB / 16GiB,59.20%
1734350322,namenode,1.63%,3.263GiB / 16GiB,20.39%
1734350322,datanode1,0.74%,6.617GiB / 16GiB,41.35%
1734350322,datanode2,221.71%,9.605GiB / 16GiB,60.03%
1734350327,namenode,0.41%,3.265GiB / 16GiB,20.41%
1734350327,datanode1,1.00%,6.617GiB / 16GiB,41.36%
1734350327,datanode2,0.68%,9.472GiB / 16GiB,59.20%
1734350333,namenode,7.43%,3.267GiB / 16GiB,20.42%
1734350333,datanode1,440.99%,7.14GiB / 16GiB,44.62%
1734350333,datanode2,0.66%,8.962GiB / 16GiB,56.01%
1734350338,namenode,1.48%,3.267GiB / 16GiB,20.42%
1734350338,datanode1,3.15%,7.14GiB / 16GiB,44.63%
1734350338,datanode2,0.40%,8.962GiB / 16GiB,56.01%
1734350344,namenode,0.35%,2.886GiB / 16GiB,18.04%
1734350344,datanode1,0.64%,7.149GiB / 16GiB,44.68%
1734350344,datanode2,0.41%,8.961GiB / 16GiB,56.01%
