TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734347437,namenode,0.26%,1.884GiB / 16GiB,11.78%
1734347437,datanode1,0.32%,2.55GiB / 16GiB,15.94%
1734347437,datanode2,0.37%,2.144GiB / 16GiB,13.40%
1734347442,namenode,100.47%,2.19GiB / 16GiB,13.69%
1734347442,datanode1,0.55%,2.55GiB / 16GiB,15.94%
1734347442,datanode2,371.42%,2.35GiB / 16GiB,14.69%
1734347448,namenode,4.47%,2.194GiB / 16GiB,13.71%
1734347448,datanode1,2768.93%,3.907GiB / 16GiB,24.42%
1734347448,datanode2,862.19%,3.025GiB / 16GiB,18.91%
1734347453,namenode,0.96%,2.194GiB / 16GiB,13.71%
1734347453,datanode1,835.08%,7.098GiB / 16GiB,44.37%
1734347453,datanode2,209.62%,3.824GiB / 16GiB,23.90%
1734347459,namenode,2.35%,2.194GiB / 16GiB,13.71%
1734347459,datanode1,827.16%,7.254GiB / 16GiB,45.34%
1734347459,datanode2,204.71%,3.861GiB / 16GiB,24.13%
1734347464,namenode,0.97%,2.194GiB / 16GiB,13.71%
1734347464,datanode1,831.07%,7.387GiB / 16GiB,46.17%
1734347464,datanode2,211.72%,3.887GiB / 16GiB,24.29%
1734347470,namenode,1.79%,2.194GiB / 16GiB,13.72%
1734347470,datanode1,798.26%,7.484GiB / 16GiB,46.78%
1734347470,datanode2,204.14%,3.923GiB / 16GiB,24.52%
1734347475,namenode,2.39%,2.194GiB / 16GiB,13.71%
1734347475,datanode1,806.37%,7.588GiB / 16GiB,47.42%
1734347475,datanode2,299.28%,3.958GiB / 16GiB,24.73%
1734347481,namenode,2.60%,2.198GiB / 16GiB,13.74%
1734347481,datanode1,857.26%,7.698GiB / 16GiB,48.11%
1734347481,datanode2,360.21%,4.134GiB / 16GiB,25.84%
1734347486,namenode,1.45%,2.199GiB / 16GiB,13.74%
1734347486,datanode1,1697.21%,7.862GiB / 16GiB,49.14%
1734347486,datanode2,522.33%,3.737GiB / 16GiB,23.36%
1734347492,namenode,6.79%,2.199GiB / 16GiB,13.74%
1734347492,datanode1,376.62%,3.783GiB / 16GiB,23.64%
1734347492,datanode2,139.14%,3.869GiB / 16GiB,24.18%
1734347498,namenode,1.76%,2.199GiB / 16GiB,13.74%
1734347498,datanode1,6.57%,3.409GiB / 16GiB,21.31%
1734347498,datanode2,160.71%,4.083GiB / 16GiB,25.52%
1734347503,namenode,2.35%,2.201GiB / 16GiB,13.76%
1734347503,datanode1,1.35%,3.409GiB / 16GiB,21.31%
1734347503,datanode2,114.38%,4.432GiB / 16GiB,27.70%
1734347509,namenode,0.68%,2.201GiB / 16GiB,13.75%
1734347509,datanode1,0.81%,3.409GiB / 16GiB,21.31%
1734347509,datanode2,112.68%,4.473GiB / 16GiB,27.96%
1734347514,namenode,0.69%,2.201GiB / 16GiB,13.76%
1734347514,datanode1,0.82%,3.41GiB / 16GiB,21.31%
1734347514,datanode2,102.77%,4.508GiB / 16GiB,28.18%
1734347520,namenode,0.54%,2.201GiB / 16GiB,13.76%
1734347520,datanode1,0.79%,3.41GiB / 16GiB,21.31%
1734347520,datanode2,106.71%,4.552GiB / 16GiB,28.45%
1734347525,namenode,0.84%,2.201GiB / 16GiB,13.76%
1734347525,datanode1,0.83%,3.413GiB / 16GiB,21.33%
1734347525,datanode2,104.77%,4.586GiB / 16GiB,28.66%
1734347531,namenode,0.80%,2.201GiB / 16GiB,13.76%
1734347531,datanode1,0.93%,3.413GiB / 16GiB,21.33%
1734347531,datanode2,106.48%,4.616GiB / 16GiB,28.85%
1734347536,namenode,0.51%,2.201GiB / 16GiB,13.76%
1734347536,datanode1,0.91%,3.414GiB / 16GiB,21.34%
1734347536,datanode2,108.78%,4.644GiB / 16GiB,29.03%
1734347542,namenode,0.56%,2.201GiB / 16GiB,13.76%
1734347542,datanode1,0.79%,3.414GiB / 16GiB,21.34%
1734347542,datanode2,105.96%,4.671GiB / 16GiB,29.20%
1734347547,namenode,0.51%,2.201GiB / 16GiB,13.76%
1734347547,datanode1,0.82%,3.415GiB / 16GiB,21.34%
1734347547,datanode2,108.30%,4.71GiB / 16GiB,29.43%
1734347553,namenode,0.86%,2.201GiB / 16GiB,13.76%
1734347553,datanode1,0.91%,3.414GiB / 16GiB,21.34%
1734347553,datanode2,107.30%,4.744GiB / 16GiB,29.65%
1734347558,namenode,0.59%,2.199GiB / 16GiB,13.75%
1734347558,datanode1,0.77%,3.417GiB / 16GiB,21.35%
1734347558,datanode2,190.56%,4.794GiB / 16GiB,29.96%
1734347564,namenode,0.85%,2.199GiB / 16GiB,13.74%
1734347564,datanode1,0.83%,3.417GiB / 16GiB,21.36%
1734347564,datanode2,111.57%,4.829GiB / 16GiB,30.18%
1734347570,namenode,0.79%,2.199GiB / 16GiB,13.74%
1734347570,datanode1,1.04%,3.418GiB / 16GiB,21.36%
1734347570,datanode2,107.94%,4.866GiB / 16GiB,30.41%
1734347575,namenode,0.49%,2.199GiB / 16GiB,13.74%
1734347575,datanode1,2.17%,3.419GiB / 16GiB,21.37%
1734347575,datanode2,126.88%,4.909GiB / 16GiB,30.68%
1734347581,namenode,0.49%,2.199GiB / 16GiB,13.74%
1734347581,datanode1,0.93%,3.42GiB / 16GiB,21.37%
1734347581,datanode2,109.92%,4.949GiB / 16GiB,30.93%
1734347586,namenode,1.72%,2.199GiB / 16GiB,13.74%
1734347586,datanode1,0.97%,3.42GiB / 16GiB,21.38%
1734347586,datanode2,110.54%,4.988GiB / 16GiB,31.18%
1734347592,namenode,1.11%,2.199GiB / 16GiB,13.74%
1734347592,datanode1,0.84%,3.421GiB / 16GiB,21.38%
1734347592,datanode2,113.81%,5.025GiB / 16GiB,31.40%
1734347597,namenode,0.64%,2.199GiB / 16GiB,13.74%
1734347597,datanode1,0.85%,3.424GiB / 16GiB,21.40%
1734347597,datanode2,111.39%,5.064GiB / 16GiB,31.65%
1734347603,namenode,139.78%,2.201GiB / 16GiB,13.76%
1734347603,datanode1,0.83%,3.425GiB / 16GiB,21.40%
1734347603,datanode2,108.95%,5.101GiB / 16GiB,31.88%
1734347608,namenode,0.53%,2.2GiB / 16GiB,13.75%
1734347608,datanode1,0.80%,3.425GiB / 16GiB,21.41%
1734347608,datanode2,111.10%,5.132GiB / 16GiB,32.08%
1734347614,namenode,0.45%,2.2GiB / 16GiB,13.75%
1734347614,datanode1,0.78%,3.426GiB / 16GiB,21.41%
1734347614,datanode2,112.87%,4.953GiB / 16GiB,30.95%
1734347619,namenode,0.91%,2.253GiB / 16GiB,14.08%
1734347619,datanode1,1.48%,3.426GiB / 16GiB,21.41%
1734347619,datanode2,0.52%,3.757GiB / 16GiB,23.48%
1734347625,namenode,3.84%,2.252GiB / 16GiB,14.08%
1734347625,datanode1,420.31%,3.958GiB / 16GiB,24.73%
1734347625,datanode2,0.59%,3.25GiB / 16GiB,20.32%
1734347630,namenode,0.90%,2.253GiB / 16GiB,14.08%
1734347630,datanode1,1.89%,3.957GiB / 16GiB,24.73%
1734347630,datanode2,1112.98%,4.448GiB / 16GiB,27.80%
1734347636,namenode,1.68%,2.253GiB / 16GiB,14.08%
1734347636,datanode1,22.76%,3.958GiB / 16GiB,24.74%
1734347636,datanode2,20.48%,3.405GiB / 16GiB,21.28%
1734347642,namenode,2.93%,2.267GiB / 16GiB,14.17%
1734347642,datanode1,12.77%,3.448GiB / 16GiB,21.55%
1734347642,datanode2,0.35%,3.404GiB / 16GiB,21.27%
1734347647,namenode,0.95%,2.266GiB / 16GiB,14.16%
1734347647,datanode1,0.88%,3.447GiB / 16GiB,21.54%
1734347647,datanode2,7.54%,3.927GiB / 16GiB,24.54%
1734347653,namenode,0.82%,2.266GiB / 16GiB,14.16%
1734347653,datanode1,348.91%,3.629GiB / 16GiB,22.68%
1734347653,datanode2,8.22%,3.928GiB / 16GiB,24.55%
1734347658,namenode,0.58%,2.269GiB / 16GiB,14.18%
1734347658,datanode1,0.37%,3.477GiB / 16GiB,21.73%
1734347658,datanode2,3.19%,3.927GiB / 16GiB,24.54%
1734347664,namenode,1.65%,2.268GiB / 16GiB,14.18%
1734347664,datanode1,444.24%,3.994GiB / 16GiB,24.96%
1734347664,datanode2,0.53%,3.422GiB / 16GiB,21.38%
1734347669,namenode,1.20%,2.268GiB / 16GiB,14.18%
1734347669,datanode1,2.19%,4.007GiB / 16GiB,25.04%
1734347669,datanode2,0.38%,3.437GiB / 16GiB,21.48%
1734347675,namenode,15.83%,2.272GiB / 16GiB,14.20%
1734347675,datanode1,0.52%,4.004GiB / 16GiB,25.03%
1734347675,datanode2,0.42%,3.447GiB / 16GiB,21.54%
1734347680,namenode,1.15%,2.272GiB / 16GiB,14.20%
1734347680,datanode1,0.66%,3.495GiB / 16GiB,21.85%
1734347680,datanode2,242.80%,3.586GiB / 16GiB,22.41%
1734347686,namenode,1.58%,2.271GiB / 16GiB,14.19%
1734347686,datanode1,349.59%,3.765GiB / 16GiB,23.53%
1734347686,datanode2,17.62%,3.959GiB / 16GiB,24.74%
1734347691,namenode,2.51%,2.273GiB / 16GiB,14.20%
1734347691,datanode1,0.37%,3.524GiB / 16GiB,22.02%
1734347691,datanode2,2.32%,3.955GiB / 16GiB,24.72%
1734347697,namenode,5.00%,2.274GiB / 16GiB,14.21%
1734347697,datanode1,0.43%,3.523GiB / 16GiB,22.02%
1734347697,datanode2,8.19%,3.464GiB / 16GiB,21.65%
1734347702,namenode,241.76%,2.515GiB / 16GiB,15.72%
1734347702,datanode1,25.28%,4.046GiB / 16GiB,25.29%
1734347702,datanode2,54.59%,3.522GiB / 16GiB,22.01%
1734347708,namenode,1.35%,2.512GiB / 16GiB,15.70%
1734347708,datanode1,25.46%,4.049GiB / 16GiB,25.30%
1734347708,datanode2,298.00%,3.747GiB / 16GiB,23.42%
1734347714,namenode,0.71%,2.761GiB / 16GiB,17.26%
1734347714,datanode1,0.49%,4.044GiB / 16GiB,25.28%
1734347714,datanode2,0.64%,3.489GiB / 16GiB,21.81%
1734347719,namenode,0.72%,2.748GiB / 16GiB,17.18%
1734347719,datanode1,1.01%,3.541GiB / 16GiB,22.13%
1734347719,datanode2,296.69%,4.013GiB / 16GiB,25.08%
1734347725,namenode,0.76%,2.768GiB / 16GiB,17.30%
1734347725,datanode1,1.06%,3.56GiB / 16GiB,22.25%
1734347725,datanode2,7.22%,4.017GiB / 16GiB,25.10%
1734347730,namenode,0.58%,2.77GiB / 16GiB,17.32%
1734347730,datanode1,0.32%,3.569GiB / 16GiB,22.30%
1734347730,datanode2,0.61%,4.014GiB / 16GiB,25.09%
1734347736,namenode,1.35%,2.772GiB / 16GiB,17.33%
1734347736,datanode1,448.17%,3.928GiB / 16GiB,24.55%
1734347736,datanode2,0.65%,3.507GiB / 16GiB,21.92%
1734347741,namenode,2.14%,2.78GiB / 16GiB,17.37%
1734347741,datanode1,9.23%,4.095GiB / 16GiB,25.59%
1734347741,datanode2,385.98%,3.751GiB / 16GiB,23.44%
1734347747,namenode,13.11%,2.783GiB / 16GiB,17.39%
1734347747,datanode1,0.54%,4.092GiB / 16GiB,25.57%
1734347747,datanode2,0.44%,3.535GiB / 16GiB,22.09%
1734347752,namenode,1.77%,2.783GiB / 16GiB,17.39%
1734347752,datanode1,1.22%,3.592GiB / 16GiB,22.45%
1734347752,datanode2,255.13%,3.676GiB / 16GiB,22.98%
1734347758,namenode,0.93%,2.782GiB / 16GiB,17.39%
1734347758,datanode1,305.58%,3.743GiB / 16GiB,23.39%
1734347758,datanode2,28.95%,4.062GiB / 16GiB,25.39%
1734347763,namenode,2.33%,2.784GiB / 16GiB,17.40%
1734347763,datanode1,79.95%,3.628GiB / 16GiB,22.67%
1734347763,datanode2,4.96%,4.052GiB / 16GiB,25.33%
1734347769,namenode,1.69%,2.786GiB / 16GiB,17.41%
1734347769,datanode1,0.43%,3.625GiB / 16GiB,22.66%
1734347769,datanode2,11.82%,3.552GiB / 16GiB,22.20%
1734347775,namenode,2.75%,2.787GiB / 16GiB,17.42%
1734347775,datanode1,7.22%,4.137GiB / 16GiB,25.86%
1734347775,datanode2,0.42%,3.552GiB / 16GiB,22.20%
1734347780,namenode,1.29%,2.787GiB / 16GiB,17.42%
1734347780,datanode1,2.70%,4.138GiB / 16GiB,25.86%
1734347780,datanode2,345.05%,3.725GiB / 16GiB,23.28%
1734347786,namenode,0.47%,2.409GiB / 16GiB,15.06%
1734347786,datanode1,0.69%,4.136GiB / 16GiB,25.85%
1734347786,datanode2,0.37%,3.576GiB / 16GiB,22.35%
