TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734343333,namenode,0.27%,1.426GiB / 16GiB,8.91%
1734343333,datanode1,0.84%,1.123GiB / 16GiB,7.02%
1734343333,datanode2,0.47%,1.135GiB / 16GiB,7.10%
1734343338,namenode,2.68%,1.736GiB / 16GiB,10.85%
1734343338,datanode1,267.27%,1.415GiB / 16GiB,8.85%
1734343338,datanode2,0.53%,1.136GiB / 16GiB,7.10%
1734343344,namenode,3.47%,1.742GiB / 16GiB,10.89%
1734343344,datanode1,697.09%,2.083GiB / 16GiB,13.02%
1734343344,datanode2,0.42%,1.136GiB / 16GiB,7.10%
1734343349,namenode,1.35%,1.742GiB / 16GiB,10.89%
1734343349,datanode1,205.60%,2.986GiB / 16GiB,18.66%
1734343349,datanode2,821.09%,5.539GiB / 16GiB,34.62%
1734343355,namenode,1.40%,1.742GiB / 16GiB,10.89%
1734343355,datanode1,215.75%,3.014GiB / 16GiB,18.84%
1734343355,datanode2,816.99%,5.965GiB / 16GiB,37.28%
1734343360,namenode,1.92%,1.743GiB / 16GiB,10.89%
1734343360,datanode1,205.78%,3.048GiB / 16GiB,19.05%
1734343360,datanode2,802.78%,6.051GiB / 16GiB,37.82%
1734343366,namenode,1.94%,1.743GiB / 16GiB,10.89%
1734343366,datanode1,201.27%,3.079GiB / 16GiB,19.25%
1734343366,datanode2,855.13%,6.159GiB / 16GiB,38.49%
1734343372,namenode,9.35%,1.745GiB / 16GiB,10.90%
1734343372,datanode1,4.43%,2.056GiB / 16GiB,12.85%
1734343372,datanode2,821.76%,6.25GiB / 16GiB,39.06%
1734343377,namenode,1.81%,1.744GiB / 16GiB,10.90%
1734343377,datanode1,104.89%,2.776GiB / 16GiB,17.35%
1734343377,datanode2,879.84%,6.322GiB / 16GiB,39.51%
1734343383,namenode,0.98%,1.747GiB / 16GiB,10.92%
1734343383,datanode1,122.46%,3.149GiB / 16GiB,19.68%
1734343383,datanode2,503.31%,4.67GiB / 16GiB,29.19%
1734343388,namenode,1.00%,1.747GiB / 16GiB,10.92%
1734343388,datanode1,124.45%,3.179GiB / 16GiB,19.87%
1734343388,datanode2,642.03%,4.71GiB / 16GiB,29.44%
1734343394,namenode,0.80%,1.747GiB / 16GiB,10.92%
1734343394,datanode1,101.18%,3.198GiB / 16GiB,19.99%
1734343394,datanode2,0.56%,1.877GiB / 16GiB,11.73%
1734343399,namenode,1.00%,1.749GiB / 16GiB,10.93%
1734343399,datanode1,116.47%,3.355GiB / 16GiB,20.97%
1734343399,datanode2,1.15%,1.878GiB / 16GiB,11.73%
1734343405,namenode,1.19%,1.749GiB / 16GiB,10.93%
1734343405,datanode1,107.21%,3.394GiB / 16GiB,21.22%
1734343405,datanode2,1.34%,1.878GiB / 16GiB,11.74%
1734343410,namenode,1.02%,1.749GiB / 16GiB,10.93%
1734343410,datanode1,108.29%,3.426GiB / 16GiB,21.41%
1734343410,datanode2,1.05%,1.879GiB / 16GiB,11.74%
1734343416,namenode,0.70%,1.749GiB / 16GiB,10.93%
1734343416,datanode1,107.14%,3.476GiB / 16GiB,21.72%
1734343416,datanode2,0.87%,1.879GiB / 16GiB,11.74%
1734343421,namenode,0.99%,1.749GiB / 16GiB,10.93%
1734343421,datanode1,104.38%,3.525GiB / 16GiB,22.03%
1734343421,datanode2,2.61%,1.88GiB / 16GiB,11.75%
1734343427,namenode,1.25%,1.749GiB / 16GiB,10.93%
1734343427,datanode1,105.55%,3.56GiB / 16GiB,22.25%
1734343427,datanode2,0.95%,1.88GiB / 16GiB,11.75%
1734343432,namenode,0.91%,1.75GiB / 16GiB,10.93%
1734343432,datanode1,105.09%,3.597GiB / 16GiB,22.48%
1734343432,datanode2,0.87%,1.881GiB / 16GiB,11.75%
1734343438,namenode,2.29%,1.749GiB / 16GiB,10.93%
1734343438,datanode1,112.98%,3.636GiB / 16GiB,22.73%
1734343438,datanode2,1.30%,1.881GiB / 16GiB,11.76%
1734343444,namenode,1.15%,1.749GiB / 16GiB,10.93%
1734343444,datanode1,105.23%,3.675GiB / 16GiB,22.97%
1734343444,datanode2,1.43%,1.881GiB / 16GiB,11.76%
1734343449,namenode,0.61%,1.749GiB / 16GiB,10.93%
1734343449,datanode1,104.33%,3.715GiB / 16GiB,23.22%
1734343449,datanode2,2.41%,1.881GiB / 16GiB,11.76%
1734343455,namenode,0.67%,1.749GiB / 16GiB,10.93%
1734343455,datanode1,183.85%,3.774GiB / 16GiB,23.58%
1734343455,datanode2,0.94%,1.882GiB / 16GiB,11.76%
1734343460,namenode,0.73%,1.749GiB / 16GiB,10.93%
1734343460,datanode1,108.39%,3.804GiB / 16GiB,23.78%
1734343460,datanode2,0.87%,1.882GiB / 16GiB,11.76%
1734343466,namenode,2.08%,1.749GiB / 16GiB,10.93%
1734343466,datanode1,108.79%,3.835GiB / 16GiB,23.97%
