TIME,DISK,READ(B/s),WRITE(B/s)
1734348850,sdc,0,0
1734348853,sdc,0,30037
1734348856,sdc,0,49152
1734348859,sdc,23210,114688
1734348862,sdc,0,12288
1734348865,sdc,0,28736170
1734348868,sdc,0,1523712
1734348871,sdc,0,225280
1734348874,sdc,0,17749
1734348877,sdc,0,0
1734348880,sdc,0,12288
1734348883,sdc,0,0
1734348886,sdc,0,24576
1734348889,sdc,0,20480
1734348892,sdc,0,66865834
1734348895,sdc,0,65190570
1734348898,sdc,0,143474688
1734348901,sdc,0,68266
1734348904,sdc,0,15018
1734348907,sdc,0,0
1734348910,sdc,0,40960
1734348913,sdc,0,0
1734348916,sdc,0,31402
1734348919,sdc,0,21845
1734348922,sdc,0,28281514
1734348925,sdc,0,98304
1734348928,sdc,0,134285994
1734348931,sdc,0,92842
1734348934,sdc,0,128341
1734348937,sdc,0,10922
1734348940,sdc,0,28322474
1734348943,sdc,0,39182336
1734348946,sdc,0,141941418
1734348949,sdc,0,86016
1734348952,sdc,0,4096
1734348955,sdc,0,106496
1734348958,sdc,0,29900800
1734348961,sdc,0,77322922
1734348964,sdc,0,173397
1734348967,sdc,0,0
1734348970,sdc,0,136085504
1734348973,sdc,0,13783040
1734348976,sdc,0,49152
1734348979,sdc,0,16384
1734348982,sdc,0,203460608
1734348985,sdc,0,65320277
1734348988,sdc,0,39594
1734348991,sdc,0,15018
1734348994,sdc,0,75093
1734348997,sdc,0,0
1734349000,sdc,0,12288
1734349003,sdc,0,64170
1734349006,sdc,0,0
1734349009,sdc,0,10922
1734349012,sdc,0,0
1734349015,sdc,0,116778325
1734349018,sdc,0,13653
1734349021,sdc,0,50517
1734349024,sdc,0,91477
1734349027,sdc,0,0
1734349030,sdc,0,13653
1734349033,sdc,0,8192
1734349036,sdc,0,42325
1734349039,sdc,0,54229674
1734349042,sdc,0,0
1734349045,sdc,0,62409386
1734349048,sdc,0,36864
1734349051,sdc,0,0
1734349054,sdc,0,6826
1734349057,sdc,0,0
1734349060,sdc,0,9557
1734349063,sdc,0,6826
1734349066,sdc,0,0
1734349069,sdc,0,4804608
1734349072,sdc,0,73773056
1734349075,sdc,0,30613504
1734349078,sdc,0,13653
1734349081,sdc,0,0
1734349084,sdc,0,8192
1734349087,sdc,0,0
1734349090,sdc,0,9557
1734349093,sdc,0,23210
1734349096,sdc,0,40960
1734349099,sdc,0,114688
1734349102,sdc,0,70870357
1734349105,sdc,0,5660672
1734349108,sdc,0,9299285
1734349111,sdc,0,128341
1734349114,sdc,0,43690
1734349117,sdc,0,25941
1734349120,sdc,0,163840
1734349123,sdc,0,0
1734349126,sdc,0,54457685
1734349129,sdc,0,166570
1734349132,sdc,0,547498
1734349135,sdc,0,122880
1734349138,sdc,0,84650
1734349141,sdc,0,73728
1734349144,sdc,0,0
1734349147,sdc,0,126976
1734349150,sdc,0,12288
1734349153,sdc,0,94208
1734349156,sdc,0,282624
1734349159,sdc,0,0
1734349162,sdc,0,251221
1734349165,sdc,0,9557
1734349168,sdc,0,151552
1734349171,sdc,0,285354
1734349174,sdc,0,84650
1734349177,sdc,0,101034
1734349180,sdc,0,10922
1734349183,sdc,0,151552
1734349186,sdc,0,408234
1734349189,sdc,0,15018
1734349192,sdc,0,316757
1734349195,sdc,0,28672
1734349198,sdc,0,173397
1734349201,sdc,0,163840
1734349204,sdc,0,0
1734349207,sdc,0,316757
1734349210,sdc,0,54613
1734349213,sdc,0,131072
1734349216,sdc,0,172032
1734349219,sdc,0,0
1734349222,sdc,0,174762
1734349225,sdc,0,15018
1734349228,sdc,0,543402
1734349231,sdc,0,159744
1734349234,sdc,0,10922
1734349237,sdc,0,167936
1734349241,sdc,0,8192
1734349244,sdc,0,344064
1734349247,sdc,0,221184
1734349250,sdc,0,31402
1734349253,sdc,0,116053
1734349256,sdc,0,0
1734349259,sdc,0,152917
1734349262,sdc,0,423253
1734349265,sdc,0,54613
1734349268,sdc,0,140629
1734349271,sdc,0,10922
1734349274,sdc,0,109226
1734349277,sdc,0,354986
