TIME,DISK,READ(B/s),WRITE(B/s)
1734343331,sdc,0,0
1734343334,sdc,0,24576
1734343337,sdc,0,31402
1734343340,sdc,0,158378
1734343343,sdc,0,137898
1734343346,sdc,28672,0
1734343349,sdc,0,26994005
1734343352,sdc,0,0
1734343355,sdc,0,192512
1734343358,sdc,0,17749
1734343361,sdc,0,0
1734343364,sdc,0,9557
1734343367,sdc,0,0
1734343370,sdc,0,21845
1734343373,sdc,0,4965717
1734343376,sdc,0,52468394
1734343379,sdc,0,121567914
1734343382,sdc,0,99398997
1734343385,sdc,0,79189
1734343388,sdc,0,17749
1734343391,sdc,0,91495082
1734343394,sdc,0,79189
1734343397,sdc,0,5461
1734343400,sdc,0,28672
1734343403,sdc,0,66901
1734343406,sdc,0,40244565
1734343409,sdc,0,86016
1734343412,sdc,0,22508885
1734343415,sdc,0,214357
1734343418,sdc,0,9557
1734343421,sdc,0,89971370
1734343424,sdc,0,37401941
1734343427,sdc,0,82930346
1734343430,sdc,0,100312405
1734343433,sdc,0,49152
1734343436,sdc,0,1365
1734343439,sdc,0,151552
1734343442,sdc,0,0
1734343445,sdc,0,125610
1734343448,sdc,0,122880
1734343451,sdc,0,0
1734343454,sdc,0,82590378
1734343457,sdc,0,0
1734343460,sdc,0,26340010
1734343463,sdc,0,83285
1734343466,sdc,0,2730
1734343469,sdc,0,107861
1734343472,sdc,0,0
1734343475,sdc,0,42325
1734343478,sdc,0,9557
1734343481,sdc,0,64562517
1734343484,sdc,0,19969365
1734343487,sdc,0,18518016
1734343490,sdc,0,91477
1734343493,sdc,0,99669
1734343496,sdc,0,0
1734343499,sdc,0,116053
1734343502,sdc,0,8192
1734343505,sdc,0,90112
1734343508,sdc,0,15018
1734343511,sdc,0,22126592
1734343514,sdc,0,1893717
1734343517,sdc,0,35378517
1734343520,sdc,0,132437
1734343523,sdc,0,0
1734343526,sdc,0,95573
1734343529,sdc,0,86016
1734343532,sdc,0,64170
1734343535,sdc,0,10922
1734343538,sdc,0,103765
1734343541,sdc,0,90112
1734343544,sdc,0,92842
1734343547,sdc,0,412330
1734343550,sdc,0,151552
1734343553,sdc,0,10922
1734343556,sdc,0,140629
1734343559,sdc,0,4096
1734343563,sdc,0,331776
1734343566,sdc,0,137898
1734343569,sdc,0,30037
1734343572,sdc,0,51612330
1734343575,sdc,0,0
1734343578,sdc,0,247275520
1734343581,sdc,0,280875008
1734343584,sdc,0,230809600
1734343587,sdc,0,155648
1734343590,sdc,0,34133
1734343593,sdc,0,124245
1734343596,sdc,0,126976
1734343599,sdc,0,16384
1734343602,sdc,0,114688
1734343605,sdc,0,171596458
1734343608,sdc,0,276288853
1734343611,sdc,0,283962026
1734343614,sdc,0,274447018
1734343617,sdc,0,285179904
1734343620,sdc,0,277446656
1734343623,sdc,0,278833834
1734343626,sdc,0,280391680
1734343629,sdc,0,276120917
1734343632,sdc,0,119382016
1734343635,sdc,0,315392
1734343638,sdc,0,158378
1734343641,sdc,0,277162
1734343644,sdc,0,110592
1734343647,sdc,0,110592
1734343650,sdc,0,103765
1734343653,sdc,0,126976
1734343656,sdc,0,219818
1734343659,sdc,0,105130
1734343662,sdc,0,5461
1734343665,sdc,0,234837
1734343668,sdc,0,0
