TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734349706,namenode,0.50%,3.183GiB / 16GiB,19.90%
1734349706,datanode1,0.78%,6.022GiB / 16GiB,37.64%
1734349706,datanode2,101.55%,9.827GiB / 16GiB,61.42%
1734349711,namenode,0.60%,3.184GiB / 16GiB,19.90%
1734349711,datanode1,0.81%,6.022GiB / 16GiB,37.64%
1734349711,datanode2,101.24%,9.867GiB / 16GiB,61.67%
1734349717,namenode,0.89%,3.184GiB / 16GiB,19.90%
1734349717,datanode1,0.79%,6.023GiB / 16GiB,37.64%
1734349717,datanode2,104.16%,9.914GiB / 16GiB,61.96%
1734349722,namenode,0.52%,3.184GiB / 16GiB,19.90%
1734349722,datanode1,0.71%,6.024GiB / 16GiB,37.65%
1734349722,datanode2,101.15%,9.947GiB / 16GiB,62.17%
1734349728,namenode,0.55%,3.184GiB / 16GiB,19.90%
1734349728,datanode1,0.77%,6.024GiB / 16GiB,37.65%
1734349728,datanode2,104.20%,9.993GiB / 16GiB,62.46%
1734349733,namenode,0.48%,3.184GiB / 16GiB,19.90%
1734349733,datanode1,0.77%,6.025GiB / 16GiB,37.66%
1734349733,datanode2,101.81%,10.03GiB / 16GiB,62.66%
1734349739,namenode,0.92%,3.183GiB / 16GiB,19.90%
1734349739,datanode1,0.78%,6.026GiB / 16GiB,37.66%
1734349739,datanode2,102.55%,10.07GiB / 16GiB,62.91%
1734349744,namenode,0.64%,3.183GiB / 16GiB,19.90%
1734349744,datanode1,0.90%,6.026GiB / 16GiB,37.66%
1734349744,datanode2,102.71%,10.11GiB / 16GiB,63.16%
1734349750,namenode,0.54%,3.241GiB / 16GiB,20.25%
1734349750,datanode1,1.87%,6.027GiB / 16GiB,37.67%
1734349750,datanode2,0.79%,8.756GiB / 16GiB,54.73%
1734349756,namenode,1.16%,3.239GiB / 16GiB,20.24%
1734349756,datanode1,401.25%,6.394GiB / 16GiB,39.96%
1734349756,datanode2,0.54%,8.242GiB / 16GiB,51.51%
1734349761,namenode,0.69%,3.239GiB / 16GiB,20.24%
1734349761,datanode1,1.21%,6.534GiB / 16GiB,40.84%
1734349761,datanode2,815.54%,8.776GiB / 16GiB,54.85%
1734349767,namenode,0.98%,3.238GiB / 16GiB,20.24%
1734349767,datanode1,5.14%,6.536GiB / 16GiB,40.85%
1734349767,datanode2,189.13%,8.499GiB / 16GiB,53.12%
1734349772,namenode,0.99%,3.24GiB / 16GiB,20.25%
1734349772,datanode1,0.39%,6.533GiB / 16GiB,40.83%
1734349772,datanode2,0.51%,8.37GiB / 16GiB,52.31%
1734349778,namenode,2.19%,3.24GiB / 16GiB,20.25%
1734349778,datanode1,0.63%,6.027GiB / 16GiB,37.67%
1734349778,datanode2,398.72%,8.719GiB / 16GiB,54.50%
1734349783,namenode,0.73%,3.24GiB / 16GiB,20.25%
1734349783,datanode1,6.38%,6.03GiB / 16GiB,37.69%
1734349783,datanode2,11.62%,8.884GiB / 16GiB,55.53%
1734349789,namenode,4.09%,3.24GiB / 16GiB,20.25%
1734349789,datanode1,1.14%,6.029GiB / 16GiB,37.68%
1734349789,datanode2,1.72%,8.881GiB / 16GiB,55.50%
1734349794,namenode,0.89%,3.24GiB / 16GiB,20.25%
1734349794,datanode1,311.72%,6.184GiB / 16GiB,38.65%
1734349794,datanode2,8.04%,8.368GiB / 16GiB,52.30%
1734349800,namenode,0.94%,3.24GiB / 16GiB,20.25%
1734349800,datanode1,3.91%,6.532GiB / 16GiB,40.83%
1734349800,datanode2,438.01%,8.554GiB / 16GiB,53.46%
1734349805,namenode,0.58%,3.239GiB / 16GiB,20.25%
1734349805,datanode1,2.24%,6.53GiB / 16GiB,40.81%
1734349805,datanode2,341.82%,8.624GiB / 16GiB,53.90%
1734349811,namenode,1.33%,3.241GiB / 16GiB,20.26%
1734349811,datanode1,0.45%,6.53GiB / 16GiB,40.81%
1734349811,datanode2,0.48%,8.369GiB / 16GiB,52.31%
1734349816,namenode,1.44%,3.24GiB / 16GiB,20.25%
1734349816,datanode1,0.54%,6.028GiB / 16GiB,37.67%
1734349816,datanode2,8.94%,8.889GiB / 16GiB,55.55%
1734349822,namenode,2.25%,3.24GiB / 16GiB,20.25%
1734349822,datanode1,419.61%,6.222GiB / 16GiB,38.89%
1734349822,datanode2,3.29%,8.882GiB / 16GiB,55.51%
1734349828,namenode,0.56%,3.241GiB / 16GiB,20.25%
1734349828,datanode1,0.38%,6.03GiB / 16GiB,37.69%
1734349828,datanode2,0.41%,8.879GiB / 16GiB,55.49%
1734349833,namenode,2.65%,3.24GiB / 16GiB,20.25%
1734349833,datanode1,495.93%,6.541GiB / 16GiB,40.88%
1734349833,datanode2,0.69%,8.368GiB / 16GiB,52.30%
1734349839,namenode,0.88%,3.24GiB / 16GiB,20.25%
1734349839,datanode1,2.21%,6.537GiB / 16GiB,40.85%
1734349839,datanode2,0.41%,8.371GiB / 16GiB,52.32%
1734349844,namenode,1.43%,3.241GiB / 16GiB,20.26%
1734349844,datanode1,0.45%,6.534GiB / 16GiB,40.84%
1734349844,datanode2,0.36%,8.37GiB / 16GiB,52.31%
1734349850,namenode,1.10%,3.24GiB / 16GiB,20.25%
1734349850,datanode1,0.61%,6.029GiB / 16GiB,37.68%
1734349850,datanode2,327.07%,8.656GiB / 16GiB,54.10%
1734349855,namenode,0.91%,3.241GiB / 16GiB,20.25%
1734349855,datanode1,295.17%,6.287GiB / 16GiB,39.30%
1734349855,datanode2,6.44%,8.875GiB / 16GiB,55.47%
1734349861,namenode,21.25%,3.242GiB / 16GiB,20.27%
1734349861,datanode1,9.70%,6.032GiB / 16GiB,37.70%
1734349861,datanode2,10.24%,8.873GiB / 16GiB,55.46%
1734349866,namenode,1.99%,3.242GiB / 16GiB,20.26%
1734349866,datanode1,115.50%,6.1GiB / 16GiB,38.13%
1734349866,datanode2,1.18%,8.369GiB / 16GiB,52.31%
1734349872,namenode,1.45%,3.242GiB / 16GiB,20.26%
1734349872,datanode1,22.75%,6.535GiB / 16GiB,40.84%
1734349872,datanode2,0.72%,8.368GiB / 16GiB,52.30%
1734349877,namenode,4.80%,3.241GiB / 16GiB,20.26%
1734349877,datanode1,26.15%,6.535GiB / 16GiB,40.84%
1734349877,datanode2,349.98%,8.526GiB / 16GiB,53.29%
1734349883,namenode,0.46%,3.242GiB / 16GiB,20.26%
1734349883,datanode1,0.53%,6.532GiB / 16GiB,40.82%
1734349883,datanode2,0.56%,8.37GiB / 16GiB,52.32%
1734349889,namenode,1.22%,3.242GiB / 16GiB,20.26%
1734349889,datanode1,0.82%,6.029GiB / 16GiB,37.68%
1734349889,datanode2,464.61%,8.874GiB / 16GiB,55.46%
1734349894,namenode,0.72%,3.241GiB / 16GiB,20.26%
1734349894,datanode1,191.26%,6.159GiB / 16GiB,38.49%
1734349894,datanode2,6.63%,8.88GiB / 16GiB,55.50%
1734349900,namenode,1.54%,3.243GiB / 16GiB,20.27%
1734349900,datanode1,0.37%,6.031GiB / 16GiB,37.69%
1734349900,datanode2,0.59%,8.877GiB / 16GiB,55.48%
1734349905,namenode,0.77%,3.242GiB / 16GiB,20.26%
1734349905,datanode1,431.61%,6.397GiB / 16GiB,39.98%
1734349905,datanode2,0.59%,8.369GiB / 16GiB,52.31%
1734349911,namenode,0.64%,3.242GiB / 16GiB,20.26%
1734349911,datanode1,1.98%,6.541GiB / 16GiB,40.88%
1734349911,datanode2,390.80%,8.631GiB / 16GiB,53.95%
1734349916,namenode,0.36%,2.862GiB / 16GiB,17.89%
1734349916,datanode1,0.51%,6.538GiB / 16GiB,40.86%
1734349916,datanode2,0.44%,8.372GiB / 16GiB,52.33%
