TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734348851,namenode,0.38%,2.807GiB / 16GiB,17.55%
1734348851,datanode1,0.47%,4.407GiB / 16GiB,27.54%
1734348851,datanode2,0.35%,5.101GiB / 16GiB,31.88%
1734348856,namenode,0.87%,3.114GiB / 16GiB,19.46%
1734348856,datanode1,397.61%,4.837GiB / 16GiB,30.23%
1734348856,datanode2,0.54%,5.101GiB / 16GiB,31.88%
1734348862,namenode,5.41%,3.119GiB / 16GiB,19.50%
1734348862,datanode1,1110.43%,5.982GiB / 16GiB,37.39%
1734348862,datanode2,2758.15%,7.924GiB / 16GiB,49.53%
1734348868,namenode,0.85%,3.119GiB / 16GiB,19.49%
1734348868,datanode1,236.64%,6.123GiB / 16GiB,38.27%
1734348868,datanode2,808.70%,9.305GiB / 16GiB,58.15%
1734348873,namenode,0.95%,3.119GiB / 16GiB,19.49%
1734348873,datanode1,240.26%,6.168GiB / 16GiB,38.55%
1734348873,datanode2,824.85%,9.742GiB / 16GiB,60.89%
1734348879,namenode,1.26%,3.12GiB / 16GiB,19.50%
1734348879,datanode1,226.48%,6.207GiB / 16GiB,38.79%
1734348879,datanode2,806.79%,9.795GiB / 16GiB,61.22%
1734348884,namenode,2.52%,3.12GiB / 16GiB,19.50%
1734348884,datanode1,281.57%,6.357GiB / 16GiB,39.73%
1734348884,datanode2,812.33%,9.949GiB / 16GiB,62.18%
1734348890,namenode,0.81%,3.12GiB / 16GiB,19.50%
1734348890,datanode1,201.86%,6.401GiB / 16GiB,40.00%
1734348890,datanode2,837.90%,10.06GiB / 16GiB,62.86%
1734348895,namenode,0.87%,3.123GiB / 16GiB,19.52%
1734348895,datanode1,578.95%,5.672GiB / 16GiB,35.45%
1734348895,datanode2,770.28%,9.898GiB / 16GiB,61.86%
1734348901,namenode,0.85%,3.124GiB / 16GiB,19.52%
1734348901,datanode1,107.10%,5.748GiB / 16GiB,35.93%
1734348901,datanode2,714.18%,9.947GiB / 16GiB,62.17%
1734348906,namenode,1.01%,3.124GiB / 16GiB,19.52%
1734348906,datanode1,104.94%,5.78GiB / 16GiB,36.13%
1734348906,datanode2,692.36%,9.987GiB / 16GiB,62.42%
1734348912,namenode,0.76%,3.124GiB / 16GiB,19.52%
1734348912,datanode1,325.39%,6.408GiB / 16GiB,40.05%
1734348912,datanode2,712.77%,10.04GiB / 16GiB,62.73%
1734348917,namenode,1.14%,3.125GiB / 16GiB,19.53%
1734348917,datanode1,213.29%,6.495GiB / 16GiB,40.59%
1734348917,datanode2,700.62%,10.07GiB / 16GiB,62.97%
1734348923,namenode,1.02%,3.128GiB / 16GiB,19.55%
1734348923,datanode1,110.53%,5.895GiB / 16GiB,36.84%
1734348923,datanode2,596.81%,9.638GiB / 16GiB,60.24%
1734348928,namenode,0.69%,3.128GiB / 16GiB,19.55%
1734348928,datanode1,202.87%,5.973GiB / 16GiB,37.33%
1734348928,datanode2,1287.38%,10.47GiB / 16GiB,65.45%
1734348934,namenode,0.94%,3.128GiB / 16GiB,19.55%
1734348934,datanode1,104.75%,5.992GiB / 16GiB,37.45%
1734348934,datanode2,718.17%,10.71GiB / 16GiB,66.91%
1734348940,namenode,1.43%,3.128GiB / 16GiB,19.55%
1734348940,datanode1,4.14%,5.369GiB / 16GiB,33.56%
1734348940,datanode2,1094.31%,10.72GiB / 16GiB,67.02%
1734348945,namenode,2.71%,3.149GiB / 16GiB,19.68%
1734348945,datanode1,6.06%,5.369GiB / 16GiB,33.56%
1734348945,datanode2,805.86%,11.66GiB / 16GiB,72.85%
1734348951,namenode,1.43%,3.149GiB / 16GiB,19.68%
1734348951,datanode1,1.47%,5.37GiB / 16GiB,33.56%
1734348951,datanode2,100.20%,7.59GiB / 16GiB,47.44%
1734348956,namenode,1.33%,3.149GiB / 16GiB,19.68%
1734348956,datanode1,1.10%,5.37GiB / 16GiB,33.56%
1734348956,datanode2,107.49%,7.708GiB / 16GiB,48.17%
1734348962,namenode,1.29%,3.151GiB / 16GiB,19.69%
1734348962,datanode1,1.20%,5.37GiB / 16GiB,33.57%
1734348962,datanode2,105.14%,7.75GiB / 16GiB,48.44%
1734348967,namenode,1.24%,3.151GiB / 16GiB,19.69%
1734348967,datanode1,1.41%,5.371GiB / 16GiB,33.57%
1734348967,datanode2,106.12%,7.796GiB / 16GiB,48.72%
