TIME,DISK,READ(B/s),WRITE(B/s)
1734347435,sdc,0,0
1734347438,sdc,0,4096
1734347441,sdc,0,557056
1734347444,sdc,0,8192
1734347447,sdc,0,128341
1734347450,sdc,0,15018
1734347453,sdc,0,29452970
1734347456,sdc,0,177493
1734347459,sdc,0,0
1734347462,sdc,0,19114
1734347465,sdc,0,0
1734347468,sdc,0,12288
1734347471,sdc,0,12288
1734347474,sdc,0,0
1734347477,sdc,0,48833877
1734347480,sdc,0,4096
1734347483,sdc,0,166593877
1734347486,sdc,0,64712704
1734347489,sdc,0,0
1734347492,sdc,0,102697642
1734347495,sdc,0,33535317
1734347498,sdc,0,45826048
1734347501,sdc,0,36864
1734347504,sdc,0,0
1734347507,sdc,0,8192
1734347510,sdc,0,6623232
1734347513,sdc,0,1705301
1734347516,sdc,0,55992320
1734347519,sdc,0,251221
1734347522,sdc,0,21845
1734347525,sdc,0,136060928
1734347528,sdc,0,27306
1734347531,sdc,0,141748906
1734347534,sdc,0,78039722
1734347537,sdc,0,24576
1734347540,sdc,0,0
1734347543,sdc,0,65536
1734347546,sdc,0,15018
1734347549,sdc,0,40960
1734347552,sdc,0,62805
1734347555,sdc,0,10922
1734347558,sdc,0,0
1734347561,sdc,0,10922
1734347564,sdc,0,122246485
1734347567,sdc,0,30037
1734347570,sdc,0,23210
1734347573,sdc,0,51882
1734347576,sdc,0,16384
1734347580,sdc,0,49152
1734347583,sdc,0,16384
1734347586,sdc,0,9557
1734347589,sdc,0,36929536
1734347592,sdc,0,21502634
1734347595,sdc,0,62435328
1734347598,sdc,0,34133
1734347601,sdc,0,31402
1734347604,sdc,0,0
1734347607,sdc,0,20480
1734347610,sdc,0,0
1734347613,sdc,0,8192
1734347616,sdc,0,146090
1734347619,sdc,0,1365
1734347622,sdc,0,76021760
1734347625,sdc,0,451925
1734347628,sdc,0,129706
1734347631,sdc,0,0
1734347634,sdc,0,113322
1734347637,sdc,0,159744
1734347640,sdc,0,23341738
1734347643,sdc,0,21528576
1734347646,sdc,0,428714
1734347649,sdc,0,111957
1734347652,sdc,0,87381
1734347655,sdc,0,86016
1734347658,sdc,0,68266
1734347661,sdc,0,10922
1734347664,sdc,0,110592
1734347667,sdc,0,0
1734347670,sdc,0,185685
1734347673,sdc,0,68266
1734347676,sdc,0,326314
1734347679,sdc,0,10922
1734347682,sdc,0,166570
1734347685,sdc,0,318122
1734347688,sdc,0,16384
1734347691,sdc,0,132437
1734347694,sdc,0,30037
1734347697,sdc,0,77824
1734347700,sdc,0,122880
1734347703,sdc,0,125610
1734347706,sdc,0,330410
1734347709,sdc,0,54613
1734347712,sdc,0,286720
1734347715,sdc,0,40960
1734347718,sdc,0,125610
1734347721,sdc,0,233472
1734347724,sdc,0,173397
1734347727,sdc,0,177493
1734347730,sdc,0,117418
1734347733,sdc,0,75093
1734347736,sdc,0,60074
1734347739,sdc,0,137898
1734347742,sdc,0,238933
1734347745,sdc,0,319488
1734347748,sdc,0,30037
1734347751,sdc,0,152917
1734347754,sdc,0,116053
1734347757,sdc,0,40960
1734347760,sdc,0,395946
1734347763,sdc,0,53248
1734347766,sdc,0,167936
1734347769,sdc,0,58709
1734347772,sdc,0,19114
1734347775,sdc,0,348160
1734347778,sdc,0,15018
1734347781,sdc,0,307200
1734347784,sdc,0,1365
1734347787,sdc,0,163840
