TIME,DISK,READ(B/s),WRITE(B/s)
1734350060,sdc,0,0
1734350063,sdc,0,50517
1734350066,sdc,0,121514
1734350069,sdc,8192,77824
1734350072,sdc,0,189781
1734350075,sdc,0,13123584
1734350078,sdc,0,237568
1734350081,sdc,0,17749
1734350084,sdc,0,0
1734350087,sdc,0,28672
1734350090,sdc,0,0
1734350093,sdc,0,47508138
1734350096,sdc,0,9557
1734350099,sdc,0,0
1734350102,sdc,0,23655765
1734350105,sdc,0,152820394
1734350108,sdc,0,98304
1734350111,sdc,0,184320
1734350114,sdc,0,16384
1734350117,sdc,0,15018
1734350120,sdc,0,129706
1734350123,sdc,0,50517
1734350126,sdc,0,16471381
1734350129,sdc,0,0
1734350132,sdc,0,6826
1734350135,sdc,0,113724074
1734350138,sdc,0,52153002
1734350141,sdc,1365,71499776
1734350144,sdc,0,59026090
1734350147,sdc,0,15018
1734350150,sdc,0,0
1734350153,sdc,0,19114
1734350156,sdc,0,8192
1734350159,sdc,0,0
1734350162,sdc,0,9557
1734350165,sdc,0,0
1734350168,sdc,0,77189120
1734350171,sdc,0,117418
1734350174,sdc,0,26449237
1734350177,sdc,0,50517
1734350180,sdc,0,0
1734350183,sdc,0,158378
1734350186,sdc,0,0
1734350189,sdc,0,43690
1734350192,sdc,0,15018
1734350195,sdc,0,102400
1734350198,sdc,0,31223808
1734350201,sdc,0,0
1734350204,sdc,0,116053
1734350207,sdc,0,5461
1734350210,sdc,0,107861
1734350213,sdc,0,124245
1734350216,sdc,0,28672
1734350219,sdc,0,43690
1734350222,sdc,0,0
1734350225,sdc,0,132437
1734350228,sdc,0,106496
1734350231,sdc,0,151552
1734350234,sdc,0,330410
1734350237,sdc,0,35498
1734350240,sdc,0,122880
1734350243,sdc,0,232106
1734350246,sdc,0,111957
1734350249,sdc,0,131072
1734350252,sdc,0,60074
1734350255,sdc,0,45056
1734350258,sdc,0,106496
1734350261,sdc,0,137898
1734350264,sdc,0,253952
1734350267,sdc,0,314026
1734350270,sdc,0,111957
1734350273,sdc,0,55978
1734350276,sdc,0,0
1734350279,sdc,0,170666
1734350282,sdc,0,315392
1734350285,sdc,0,53248
1734350288,sdc,0,222549
1734350291,sdc,0,10922
1734350294,sdc,0,136533
1734350297,sdc,0,311296
1734350300,sdc,0,15018
1734350303,sdc,0,264874
1734350306,sdc,0,31402
1734350309,sdc,0,131072
1734350312,sdc,0,155648
1734350315,sdc,0,8192
1734350318,sdc,0,401408
1734350321,sdc,0,43690
1734350324,sdc,0,141994
1734350327,sdc,0,61440
1734350330,sdc,0,10922
1734350333,sdc,0,218453
1734350336,sdc,0,15018
1734350339,sdc,0,308565
1734350342,sdc,0,188416
