TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734351694,spark-master,45.19%,1.833GiB / 16GiB,11.46%
1734351694,spark-worker-1,0.07%,755MiB / 16GiB,4.61%
1734351694,spark-worker-2,0.05%,699.1MiB / 16GiB,4.27%
1734351700,spark-master,0.86%,1.949GiB / 16GiB,12.18%
1734351700,spark-worker-1,618.45%,1.298GiB / 16GiB,8.11%
1734351700,spark-worker-2,1090.54%,918.4MiB / 16GiB,5.61%
1734351705,spark-master,20.24%,1.954GiB / 16GiB,12.21%
1734351705,spark-worker-1,16.12%,1.499GiB / 16GiB,9.37%
1734351705,spark-worker-2,1347.26%,3.234GiB / 16GiB,20.22%
1734351711,spark-master,34.28%,1.956GiB / 16GiB,12.23%
1734351711,spark-worker-1,0.08%,1.493GiB / 16GiB,9.33%
1734351711,spark-worker-2,1912.13%,6.039GiB / 16GiB,37.74%
1734351716,spark-master,1.16%,1.957GiB / 16GiB,12.23%
1734351716,spark-worker-1,0.06%,1.493GiB / 16GiB,9.33%
1734351716,spark-worker-2,916.49%,3.382GiB / 16GiB,21.14%
1734351722,spark-master,2.04%,1.98GiB / 16GiB,12.37%
1734351722,spark-worker-1,0.43%,1.493GiB / 16GiB,9.33%
1734351722,spark-worker-2,1667.27%,5.101GiB / 16GiB,31.88%
1734351727,spark-master,22.17%,1.972GiB / 16GiB,12.33%
1734351727,spark-worker-1,0.12%,1.493GiB / 16GiB,9.33%
1734351727,spark-worker-2,1784.10%,5.732GiB / 16GiB,35.82%
1734351733,spark-master,11.75%,1.974GiB / 16GiB,12.33%
1734351733,spark-worker-1,9.66%,1.494GiB / 16GiB,9.33%
1734351733,spark-worker-2,1470.34%,5.53GiB / 16GiB,34.56%
1734351738,spark-master,0.83%,1.974GiB / 16GiB,12.34%
1734351738,spark-worker-1,0.09%,1.494GiB / 16GiB,9.33%
1734351738,spark-worker-2,1437.73%,4.957GiB / 16GiB,30.98%
1734351744,spark-master,2.11%,1.969GiB / 16GiB,12.30%
1734351744,spark-worker-1,0.02%,416.5MiB / 16GiB,2.54%
1734351744,spark-worker-2,0.01%,352.6MiB / 16GiB,2.15%
1734351750,spark-master,0.16%,1.965GiB / 16GiB,12.28%
1734351750,spark-worker-1,0.02%,416.3MiB / 16GiB,2.54%
1734351750,spark-worker-2,0.07%,352.2MiB / 16GiB,2.15%
1734351755,spark-master,0.09%,1.965GiB / 16GiB,12.28%
1734351755,spark-worker-1,0.02%,416.1MiB / 16GiB,2.54%
1734351755,spark-worker-2,0.01%,352.1MiB / 16GiB,2.15%
1734351761,spark-master,0.06%,1.965GiB / 16GiB,12.28%
1734351761,spark-worker-1,0.02%,416MiB / 16GiB,2.54%
1734351761,spark-worker-2,0.02%,352.1MiB / 16GiB,2.15%
1734351766,spark-master,0.05%,1.965GiB / 16GiB,12.28%
1734351766,spark-worker-1,0.01%,416MiB / 16GiB,2.54%
1734351766,spark-worker-2,0.01%,352.1MiB / 16GiB,2.15%
1734351772,spark-master,0.07%,1.965GiB / 16GiB,12.28%
1734351772,spark-worker-1,0.01%,416MiB / 16GiB,2.54%
1734351772,spark-worker-2,0.01%,351.9MiB / 16GiB,2.15%
1734351777,spark-master,0.08%,1.965GiB / 16GiB,12.28%
1734351777,spark-worker-1,0.01%,415.9MiB / 16GiB,2.54%
1734351777,spark-worker-2,0.02%,351.8MiB / 16GiB,2.15%
