TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734350716,spark-master,1.11%,1.802GiB / 16GiB,11.26%
1734350716,spark-worker-1,0.03%,672.9MiB / 16GiB,4.11%
1734350716,spark-worker-2,0.04%,655.5MiB / 16GiB,4.00%
1734350722,spark-master,4.10%,1.929GiB / 16GiB,12.06%
1734350722,spark-worker-1,381.83%,1.061GiB / 16GiB,6.63%
1734350722,spark-worker-2,486.87%,1.112GiB / 16GiB,6.95%
1734350727,spark-master,22.06%,1.926GiB / 16GiB,12.04%
1734350727,spark-worker-1,7.22%,1.185GiB / 16GiB,7.41%
1734350727,spark-worker-2,915.42%,2.543GiB / 16GiB,15.89%
1734350733,spark-master,0.99%,1.925GiB / 16GiB,12.03%
1734350733,spark-worker-1,0.32%,1.176GiB / 16GiB,7.35%
1734350733,spark-worker-2,1009.64%,2.918GiB / 16GiB,18.24%
1734350738,spark-master,0.91%,1.942GiB / 16GiB,12.14%
1734350738,spark-worker-1,0.26%,1.176GiB / 16GiB,7.35%
1734350738,spark-worker-2,707.39%,2.102GiB / 16GiB,13.14%
1734350744,spark-master,23.15%,1.948GiB / 16GiB,12.18%
1734350744,spark-worker-1,0.73%,1.176GiB / 16GiB,7.35%
1734350744,spark-worker-2,878.63%,3.091GiB / 16GiB,19.32%
1734350749,spark-master,1.18%,1.949GiB / 16GiB,12.18%
1734350749,spark-worker-1,0.09%,1.177GiB / 16GiB,7.36%
1734350749,spark-worker-2,954.16%,3.176GiB / 16GiB,19.85%
1734350755,spark-master,9.18%,1.985GiB / 16GiB,12.41%
1734350755,spark-worker-1,0.09%,1.177GiB / 16GiB,7.35%
1734350755,spark-worker-2,983.51%,3.692GiB / 16GiB,23.08%
1734350760,spark-master,19.89%,1.991GiB / 16GiB,12.45%
1734350760,spark-worker-1,3.87%,1.177GiB / 16GiB,7.36%
1734350760,spark-worker-2,763.57%,3.307GiB / 16GiB,20.67%
