TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734351091,spark-master,0.06%,1.968GiB / 16GiB,12.30%
1734351091,spark-worker-1,0.01%,386.2MiB / 16GiB,2.36%
1734351091,spark-worker-2,0.01%,324.6MiB / 16GiB,1.98%
1734351097,spark-master,0.69%,1.981GiB / 16GiB,12.38%
1734351097,spark-worker-1,1879.44%,1.856GiB / 16GiB,11.60%
1734351097,spark-worker-2,0.63%,677MiB / 16GiB,4.13%
1734351102,spark-master,0.70%,1.982GiB / 16GiB,12.39%
1734351102,spark-worker-1,1528.26%,4.486GiB / 16GiB,28.04%
1734351102,spark-worker-2,0.09%,660.2MiB / 16GiB,4.03%
1734351108,spark-master,0.38%,1.982GiB / 16GiB,12.39%
1734351108,spark-worker-1,1783.87%,4.7GiB / 16GiB,29.37%
1734351108,spark-worker-2,0.07%,659.8MiB / 16GiB,4.03%
1734351113,spark-master,11.72%,1.989GiB / 16GiB,12.43%
1734351113,spark-worker-1,1682.51%,5.167GiB / 16GiB,32.30%
1734351113,spark-worker-2,0.12%,664.4MiB / 16GiB,4.06%
1734351119,spark-master,23.76%,1.984GiB / 16GiB,12.40%
1734351119,spark-worker-1,1477.59%,3.862GiB / 16GiB,24.14%
1734351119,spark-worker-2,0.55%,664.5MiB / 16GiB,4.06%
1734351124,spark-master,0.31%,1.984GiB / 16GiB,12.40%
1734351124,spark-worker-1,1325.82%,5.133GiB / 16GiB,32.08%
1734351124,spark-worker-2,0.11%,664.4MiB / 16GiB,4.06%
1734351130,spark-master,13.97%,1.991GiB / 16GiB,12.44%
1734351130,spark-worker-1,2004.79%,5.097GiB / 16GiB,31.85%
1734351130,spark-worker-2,0.08%,664.4MiB / 16GiB,4.06%
1734351136,spark-master,15.78%,1.992GiB / 16GiB,12.45%
1734351136,spark-worker-1,1726.95%,4.889GiB / 16GiB,30.55%
1734351136,spark-worker-2,0.07%,664.4MiB / 16GiB,4.06%
