TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734351434,spark-master,0.15%,1.993GiB / 16GiB,12.45%
1734351434,spark-worker-1,0.02%,399.3MiB / 16GiB,2.44%
1734351434,spark-worker-2,0.09%,339.3MiB / 16GiB,2.07%
1734351440,spark-master,1.04%,2.003GiB / 16GiB,12.52%
1734351440,spark-worker-1,480.73%,1.049GiB / 16GiB,6.56%
1734351440,spark-worker-2,0.17%,697.8MiB / 16GiB,4.26%
1734351445,spark-master,0.77%,2.003GiB / 16GiB,12.52%
1734351445,spark-worker-1,2311.67%,6.864GiB / 16GiB,42.90%
1734351445,spark-worker-2,0.14%,674.9MiB / 16GiB,4.12%
1734351451,spark-master,0.64%,2.004GiB / 16GiB,12.52%
1734351451,spark-worker-1,1632.95%,5.291GiB / 16GiB,33.07%
1734351451,spark-worker-2,0.06%,674.9MiB / 16GiB,4.12%
1734351456,spark-master,0.56%,2.005GiB / 16GiB,12.53%
1734351456,spark-worker-1,2282.29%,5.877GiB / 16GiB,36.73%
1734351456,spark-worker-2,0.09%,679.8MiB / 16GiB,4.15%
1734351462,spark-master,4.66%,2.005GiB / 16GiB,12.53%
1734351462,spark-worker-1,2381.98%,5.797GiB / 16GiB,36.23%
1734351462,spark-worker-2,0.14%,679.8MiB / 16GiB,4.15%
1734351467,spark-master,0.55%,2.005GiB / 16GiB,12.53%
1734351467,spark-worker-1,1988.09%,6.601GiB / 16GiB,41.26%
1734351467,spark-worker-2,0.06%,679.8MiB / 16GiB,4.15%
1734351473,spark-master,0.21%,2.006GiB / 16GiB,12.54%
1734351473,spark-worker-1,1649.23%,5.131GiB / 16GiB,32.07%
1734351473,spark-worker-2,0.67%,680.2MiB / 16GiB,4.15%
1734351479,spark-master,0.50%,2.007GiB / 16GiB,12.54%
1734351479,spark-worker-1,2623.38%,6.075GiB / 16GiB,37.97%
1734351479,spark-worker-2,18.18%,344.5MiB / 16GiB,2.10%
