TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734354885,spark-master,0.35%,1.709GiB / 16GiB,10.68%
1734354885,spark-worker-1,0.03%,688.7MiB / 16GiB,4.20%
1734354885,spark-worker-2,0.03%,681.6MiB / 16GiB,4.16%
1734354885,spark-worker-3,0.03%,678MiB / 16GiB,4.14%
1734354885,spark-worker-4,0.35%,677.4MiB / 16GiB,4.13%
1734354891,spark-master,125.98%,1.828GiB / 16GiB,11.43%
1734354891,spark-worker-1,369.89%,788.7MiB / 16GiB,4.81%
1734354891,spark-worker-2,367.59%,774.6MiB / 16GiB,4.73%
1734354891,spark-worker-3,460.33%,853.4MiB / 16GiB,5.21%
1734354891,spark-worker-4,1.13%,676.6MiB / 16GiB,4.13%
1734354897,spark-master,0.79%,1.831GiB / 16GiB,11.44%
1734354897,spark-worker-1,436.28%,1.728GiB / 16GiB,10.80%
1734354897,spark-worker-2,530.24%,1.816GiB / 16GiB,11.35%
1734354897,spark-worker-3,685.52%,1.837GiB / 16GiB,11.48%
1734354897,spark-worker-4,692.18%,1.841GiB / 16GiB,11.51%
1734354902,spark-master,0.65%,1.835GiB / 16GiB,11.47%
1734354902,spark-worker-1,0.09%,1.197GiB / 16GiB,7.48%
1734354902,spark-worker-2,1320.17%,3.021GiB / 16GiB,18.88%
1734354902,spark-worker-3,0.08%,1.22GiB / 16GiB,7.62%
1734354902,spark-worker-4,0.08%,1.208GiB / 16GiB,7.55%
1734354908,spark-master,22.24%,1.859GiB / 16GiB,11.62%
1734354908,spark-worker-1,13.45%,1.199GiB / 16GiB,7.49%
1734354908,spark-worker-2,1685.97%,4.688GiB / 16GiB,29.30%
1734354908,spark-worker-3,0.68%,1.221GiB / 16GiB,7.63%
1734354908,spark-worker-4,13.04%,1.209GiB / 16GiB,7.56%
1734354913,spark-master,78.04%,1.889GiB / 16GiB,11.81%
1734354913,spark-worker-1,0.06%,1.198GiB / 16GiB,7.49%
1734354913,spark-worker-2,1694.38%,4.954GiB / 16GiB,30.96%
1734354913,spark-worker-3,7.27%,1.221GiB / 16GiB,7.63%
1734354913,spark-worker-4,5.49%,1.209GiB / 16GiB,7.56%
1734354919,spark-master,14.96%,1.875GiB / 16GiB,11.72%
1734354919,spark-worker-1,0.08%,1.199GiB / 16GiB,7.49%
1734354919,spark-worker-2,1604.05%,4.133GiB / 16GiB,25.83%
1734354919,spark-worker-3,6.00%,1.221GiB / 16GiB,7.63%
1734354919,spark-worker-4,4.73%,1.21GiB / 16GiB,7.56%
1734354924,spark-master,0.85%,1.87GiB / 16GiB,11.69%
1734354924,spark-worker-1,0.13%,1.199GiB / 16GiB,7.49%
1734354924,spark-worker-2,1658.44%,6.204GiB / 16GiB,38.77%
1734354924,spark-worker-3,0.12%,1.221GiB / 16GiB,7.63%
1734354924,spark-worker-4,0.12%,1.209GiB / 16GiB,7.56%
1734354930,spark-master,1.77%,1.882GiB / 16GiB,11.76%
1734354930,spark-worker-1,0.12%,1.199GiB / 16GiB,7.49%
1734354930,spark-worker-2,1941.00%,6.123GiB / 16GiB,38.27%
1734354930,spark-worker-3,0.13%,1.221GiB / 16GiB,7.63%
1734354930,spark-worker-4,0.14%,1.209GiB / 16GiB,7.56%
