TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734355226,spark-master,0.57%,1.703GiB / 16GiB,10.64%
1734355226,spark-worker-1,0.43%,686.8MiB / 16GiB,4.19%
1734355226,spark-worker-2,0.06%,622.1MiB / 16GiB,3.80%
1734355226,spark-worker-3,0.06%,690.6MiB / 16GiB,4.21%
1734355232,spark-master,15.23%,1.824GiB / 16GiB,11.40%
1734355232,spark-worker-1,592.99%,890.2MiB / 16GiB,5.43%
1734355232,spark-worker-2,26.31%,628.2MiB / 16GiB,3.83%
1734355232,spark-worker-3,984.64%,904.2MiB / 16GiB,5.52%
1734355237,spark-master,21.55%,1.83GiB / 16GiB,11.44%
1734355237,spark-worker-1,620.34%,1.937GiB / 16GiB,12.11%
1734355237,spark-worker-2,510.31%,1.248GiB / 16GiB,7.80%
1734355237,spark-worker-3,953.70%,2.224GiB / 16GiB,13.90%
1734355243,spark-master,17.46%,1.842GiB / 16GiB,11.51%
1734355243,spark-worker-1,1742.63%,4.431GiB / 16GiB,27.69%
1734355243,spark-worker-2,18.00%,1.244GiB / 16GiB,7.77%
1734355243,spark-worker-3,0.16%,1.336GiB / 16GiB,8.35%
1734355248,spark-master,12.90%,1.852GiB / 16GiB,11.58%
1734355248,spark-worker-1,2422.97%,5.497GiB / 16GiB,34.36%
1734355248,spark-worker-2,0.10%,1.237GiB / 16GiB,7.73%
1734355248,spark-worker-3,0.06%,1.337GiB / 16GiB,8.36%
1734355254,spark-master,1.08%,1.893GiB / 16GiB,11.83%
1734355254,spark-worker-1,2140.43%,5.706GiB / 16GiB,35.66%
1734355254,spark-worker-2,0.11%,1.238GiB / 16GiB,7.73%
1734355254,spark-worker-3,0.98%,1.337GiB / 16GiB,8.36%
1734355259,spark-master,0.60%,1.878GiB / 16GiB,11.74%
1734355259,spark-worker-1,2060.91%,6.559GiB / 16GiB,40.99%
1734355259,spark-worker-2,0.14%,1.238GiB / 16GiB,7.73%
1734355259,spark-worker-3,3.41%,1.337GiB / 16GiB,8.36%
1734355265,spark-master,0.38%,1.879GiB / 16GiB,11.74%
1734355265,spark-worker-1,1589.56%,5.064GiB / 16GiB,31.65%
1734355265,spark-worker-2,3.17%,1.238GiB / 16GiB,7.73%
1734355265,spark-worker-3,4.54%,1.337GiB / 16GiB,8.36%
1734355271,spark-master,7.35%,1.881GiB / 16GiB,11.75%
1734355271,spark-worker-1,2217.38%,6.086GiB / 16GiB,38.04%
1734355271,spark-worker-2,0.49%,1.237GiB / 16GiB,7.73%
1734355271,spark-worker-3,0.50%,1.337GiB / 16GiB,8.36%
