TIME,DISK,READ(B/s),WRITE(B/s)
1734355225,sdc,0,0
1734355228,sdc,0,80554
1734355231,sdc,0,38229
1734355234,sdc,0,0
1734355237,sdc,0,19776853
1734355240,sdc,0,669013
1734355243,sdc,0,376832
1734355246,sdc,0,0
1734355249,sdc,0,143360
1734355252,sdc,0,39993344
1734355255,sdc,0,0
1734355258,sdc,0,78645930
1734355261,sdc,0,0
1734355264,sdc,0,158378
1734355267,sdc,0,0
1734355270,sdc,0,157013
1734355273,sdc,0,0
1734355276,sdc,0,192512
