TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734353373,spark-master,0.88%,1.679GiB / 16GiB,10.50%
1734353373,spark-worker-1,0.03%,683.3MiB / 16GiB,4.17%
1734353378,spark-master,256.60%,1.804GiB / 16GiB,11.28%
1734353378,spark-worker-1,0.05%,682.3MiB / 16GiB,4.16%
1734353384,spark-master,0.66%,1.802GiB / 16GiB,11.26%
1734353384,spark-worker-1,918.40%,2.368GiB / 16GiB,14.80%
1734353389,spark-master,1.10%,1.805GiB / 16GiB,11.28%
1734353389,spark-worker-1,10.79%,1.485GiB / 16GiB,9.28%
1734353395,spark-master,2.21%,1.812GiB / 16GiB,11.33%
1734353395,spark-worker-1,0.37%,1.486GiB / 16GiB,9.28%
1734353400,spark-master,1.39%,1.853GiB / 16GiB,11.58%
1734353400,spark-worker-1,3.73%,1.485GiB / 16GiB,9.28%
1734353406,spark-master,8.80%,1.832GiB / 16GiB,11.45%
1734353406,spark-worker-1,0.08%,1.485GiB / 16GiB,9.28%
1734353412,spark-master,11.18%,1.835GiB / 16GiB,11.47%
1734353412,spark-worker-1,0.34%,1.485GiB / 16GiB,9.28%
1734353417,spark-master,0.88%,1.836GiB / 16GiB,11.47%
1734353417,spark-worker-1,0.15%,1.485GiB / 16GiB,9.28%
1734353423,spark-master,1.90%,1.826GiB / 16GiB,11.42%
1734353423,spark-worker-1,0.02%,349.4MiB / 16GiB,2.13%
