TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734353139,spark-master,0.29%,1.643GiB / 16GiB,10.27%
1734353139,spark-worker-1,0.04%,685.4MiB / 16GiB,4.18%
1734353145,spark-master,14.06%,1.801GiB / 16GiB,11.26%
1734353145,spark-worker-1,450.78%,778MiB / 16GiB,4.75%
1734353150,spark-master,0.64%,1.794GiB / 16GiB,11.21%
1734353150,spark-worker-1,1315.77%,2.289GiB / 16GiB,14.30%
1734353156,spark-master,0.65%,1.804GiB / 16GiB,11.27%
1734353156,spark-worker-1,1340.30%,3.277GiB / 16GiB,20.48%
1734353162,spark-master,29.84%,1.809GiB / 16GiB,11.31%
1734353162,spark-worker-1,1659.91%,5.652GiB / 16GiB,35.33%
1734353167,spark-master,2.24%,1.845GiB / 16GiB,11.53%
1734353167,spark-worker-1,2437.76%,5.721GiB / 16GiB,35.75%
1734353173,spark-master,1.10%,1.848GiB / 16GiB,11.55%
1734353173,spark-worker-1,1865.14%,5.971GiB / 16GiB,37.32%
1734353178,spark-master,0.67%,1.824GiB / 16GiB,11.40%
1734353178,spark-worker-1,1542.36%,4.592GiB / 16GiB,28.70%
1734353184,spark-master,6.04%,1.826GiB / 16GiB,11.41%
1734353184,spark-worker-1,2239.32%,5.765GiB / 16GiB,36.03%
