TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734352600,spark-master,311.09%,2.318GiB / 16GiB,14.49%
1734352604,spark-master,240.22%,2.438GiB / 16GiB,15.24%
1734352609,spark-master,1929.02%,5.299GiB / 16GiB,33.12%
1734352613,spark-master,2504.10%,7.271GiB / 16GiB,45.44%
1734352618,spark-master,2376.44%,7.344GiB / 16GiB,45.90%
1734352622,spark-master,1647.30%,5.561GiB / 16GiB,34.76%
1734352627,spark-master,2443.96%,7.676GiB / 16GiB,47.98%
1734352632,spark-master,1614.08%,5.981GiB / 16GiB,37.38%
1734352636,spark-master,2391.00%,7.979GiB / 16GiB,49.87%
1734352641,spark-master,1302.42%,6.206GiB / 16GiB,38.79%
1734352645,spark-master,2098.69%,8.801GiB / 16GiB,55.01%
